rule,says,support,confidence,lift
favs_per_day_low & sidebar_default & text_n_urls_low,non_human,0.0705850921720545,0.6702181633688482,2.317652056069474
desc_len_low & link_default & tweets_per_day_high,non_human,0.0635319262623564,0.6683530073074762,2.3112022416406903
desc_missing & text_len_low & text_n_urls_low,non_human,0.0546620358001603,0.6677545691906005,2.309132809017385
fav_number_low & location_missing & timezone_missing,non_human,0.08185947101255678,0.6657974793568014,2.3023650824394934
desc_missing & fav_number_low & text_n_urls_low,non_human,0.06043280790809511,0.6637323943661971,2.2952239025431225
favs_per_day_low & location_missing,non_human,0.09543147208121827,0.6629547141796585,2.292534640774632
fav_number_low & has_description & text_n_urls_high,non_human,0.05979161100721347,0.662914691943128,2.2923962416326016
fav_number_low & location_missing & text_n_urls_low,non_human,0.07176061982367085,0.6622287968441815,2.290024377852708
favs_per_day_low & link_default & text_n_urls_low,non_human,0.07181405289874432,0.6620689655172414,2.2894716721461883
fav_number_low & text_n_urls_low & timezone_missing,non_human,0.07031792679668715,0.6596491228070176,2.2811037201281104
desc_missing & favs_per_day_low & location_missing,non_human,0.06663104461661769,0.6590909090909091,2.2791733857421215
fav_number_low & favs_per_day_low & sidebar_default,non_human,0.10467539406892867,0.6587088096839274,2.2778520645296934
favs_per_day_low & timezone_missing,non_human,0.09441624365482233,0.6585911293328364,2.277445119265342
text_len_low & text_n_urls_low & tweets_per_day_high,non_human,0.06374565856265028,0.6558548653106102,2.2679829645765093
fav_number_low & favs_per_day_low & link_default,non_human,0.10964467005076142,0.6558005752636625,2.2677952265446124
link_default & timezone_missing & tweets_per_day_high,non_human,0.07790542345711995,0.6552808988764045,2.2659981564064875
location_missing & tweet_count_high & tweets_per_day_high,non_human,0.06417312316323805,0.6552100381887616,2.265753116168269
sidebar_default & timezone_missing & tweets_per_day_high,non_human,0.07742452578145873,0.6550632911392406,2.2652456566280277
desc_missing & favs_per_day_low & sidebar_default,non_human,0.06620358001602993,0.6541710665258712,2.262160293797428
account_age_days_low & favs_per_day_low,non_human,0.05476890195030724,0.6541161455009572,2.26197037380828
account_age_days_low & fav_number_low & favs_per_day_low,non_human,0.05476890195030724,0.6541161455009572,2.26197037380828
desc_missing & fav_number_low & timezone_missing,non_human,0.06513491851456052,0.653969957081545,2.2614648460423346
sidebar_default & tweet_count_high & tweets_per_day_high,non_human,0.06802030456852792,0.6538263995891115,2.2609684161696637
desc_len_low & favs_per_day_low & location_missing,non_human,0.06759283996794016,0.6517259144770737,2.253704820664899
text_n_urls_low & timezone_missing & tweets_per_day_high,non_human,0.06625701309110339,0.6505771248688352,2.2497322416704084
desc_missing & favs_per_day_low & link_default,non_human,0.06625701309110339,0.6502359727320398,2.248552518418353
desc_missing & text_len_low,non_human,0.05530323270104195,0.6480901690670006,2.241132208811699
